source_id,source_name,author,title,description,url,urlToImage,publishedAt,content,summary,tags
wired,Wired,Lauren Goode,Tech Layoffs Reveal America’s Unhealthy Obsession With Work,Author Simone Stolzoff argues the US is in thrall to “workism”—the dangerous illusion that your job is the only source of self-worth.,https://www.wired.com/story/plaintext-tech-layoffs-reveal-americas-unhealthy-obsession-with-work/,"https://media.wired.com/photos/6438a1cfeb20d414e80f3c14/191:100/w_1280,c_limit/Tech-Layoffs-Reveal-Americans-Obsession-With-Work-Plaintext-Business-1369568020.jpg",2023-04-14T13:00:00Z,"Its so nice that everythings back to normal at the office now, isnt it? If normal means mass layoffs, empty office buildings, confusing return-to-office policies, AI panic, and the whiplash-y feeling… [+3961 chars]","The Good Enough Job: Reclaiming Life from Work posits that we—and Americans, especially—have fetishized work to the point that we’ve lost our identities to it.
The book kicks off with a parable about an MBA type urging a fisherman to scale his business into a global operation.
That’s risky, Stolzoff says, especially in light of the recent layoffs in the tech sector.
WIRED: Why is office work so weird right now?
An employee at YouTube was telling me about how Alphabet is making workers come into the office three days a week.","['work', 'fact', 'managers', 'office', 'unhealthy', 'book', 'theyre', 'obsession', 'americas', 'stolzoff', 'tech', 'sense', 'mba', 'layoffs', 'really', 'reveal']"
engadget,Engadget,Amy Skorheim,"Apple's second-gen AirPods Pro are down to $200, plus the rest of this week's best tech deals","We check for tech deals every weekday. On Fridays, we pull together the best of what we found that still happens to be on sale. This week, Amazon continued to sell Apple's latest AirPods Pro for a $50 discount and one more retailer joined in too. Samsung's fl…",https://www.engadget.com/apples-second-gen-airpods-pro-are-down-to-200-plus-the-rest-of-this-weeks-best-tech-deals-181113985.html,https://s.yimg.com/uu/api/res/1.2/ErXIpGO4rQaVal_TWhIiKA--~B/Zmk9ZmlsbDtoPTYzMDtweW9mZj0wO3c9MTIwMDthcHBpZD15dGFjaHlvbg--/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2022-09/6be0e290-39fe-11ed-a7b7-d9f37772c112.cf.jpg,2023-04-14T18:12:02Z,"All products recommended by Engadget are selected by our editorial team, independent of our parent company. Some of our stories include affiliate links. If you buy something through one of these link… [+12007 chars]","Apple's second-gen AirPods Pro are down to $200, plus the rest of this week's best tech deals Including discounts on Samsung, Google Nest, PlayStation and more.
This week, Amazon continued to sell Apple's latest AirPods Pro for a $50 discount and one more retailer joined in too.
Samsung Galaxy S23 UltraSamsung Galaxy S23 Ultra (256GB) The 'entry-level' S23 Ultra now costs as much as you'd normally pay for its S23+ sibling.
XGIMI MoGo Pro Portable ProjectorPortable projectors can bring your movies and shows to more places — including outside.
Right now, the 1TB and 2TB versions of the drive are on sale at Amazon, Best Buy and directly from Samsung, going for $80 and $130, respectively.","['pro', 'amazon', 'sale', 'devices', 'best', 'airpods', 'discount', 'rest', 's23', 'portable', 'apples', 'price', 'tech', 'deals', 'galaxy', 'secondgen', 'weeks', 'plus']"
google-news,Google News,,TomTom returns to profit as location tech gains steam - Reuters,TomTom returns to profit as location tech gains steam  Reuters,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvdG9tdG9tcy1xMS1yZXZlbnVlLWJlYXRzLWVzdGltYXRlcy1kcml2ZW4tYnktbG9jYXRpb24tdGVjaC0yMDIzLTA0LTE0L9IBAA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,,2023-04-14T05:47:00Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]","The company reported an operating profit of 2.6 million euros ($2.88 million) in the first quarter.
Analysts polled by the company had forecast a loss of 12 million euros.
It had posted a loss of 19.8 million euros a year earlier.
The group's revenue rose 10% to 141 million euros against analysts' estimate of 132 million euros, driven by 12% growth in location technology and 34% growth in automotive.
""Supported by growing revenues, we expect to generate positive free cash flow in the range of 0% to 5% of group revenue this year,"" finance chief Taco Titulaer said.","['q1', 'location', 'surprise', 'quarter', 'group', 'jump', 'navigation', 'growth', 'shares', 'automotive', 'profit', 'euros', 'million', 'revenue', 'operating', 'company', 'firm', 'tomtoms']"
,Hackaday,Elliot Williams,Sufficiently Advanced Tech: Has Bugs,"Arthur C. Clarke said that “Any sufficiently advanced technology is indistinguishable from magic”. He was a sci-fi writer, though, and not a security guy. Maybe it should read “Any sufficiently …read more",https://hackaday.com/2023/04/15/sufficiently-advanced-tech-has-bugs/,https://hackaday.com/wp-content/uploads/2019/02/carlanguage.jpg,2023-04-15T14:00:23Z,"Arthur C. Clarke said that Any sufficiently advanced technology is indistinguishable from magic. He was a sci-fi writer, though, and not a security guy. Maybe it should read Any sufficiently advanced… [+1904 chars]","Arthur C. Clarke said that “Any sufficiently advanced technology is indistinguishable from magic”.
Maybe it should read “Any sufficiently advanced tech has security flaws”.
What seems like magic to the driver looks like a gold mine to the attacker, or to car thieves.
And more modern cars have their CAN networks encrypted now, adding layers of magic on top of magic.
Sufficiently advanced tech.","['security', 'bugs', 'second', 'magic', 'headlight', 'network', 'advanced', 'sufficiently', 'tech', 'car', 'bulb']"
business-insider,Business Insider,Morgan Chittum,Retail investors are sitting on big losses in their stock portfolios even as the market rallies in 2023,"""This prolonged bear market – particularly in tech - along with recent growing fears of a recession are undoubtedly weighing on sentiment.""",https://markets.businessinsider.com/news/stocks/stock-market-rally-retail-investors-portfolio-losses-tesla-apple-nvidia-2023-4,https://i.insider.com/64397c2c75412f0018d5737a?width=1200&format=jpeg,2023-04-14T18:08:40Z,"Sesame/Getty Images
<ul>
<li>The average retail investor portfolio is down 27% year-to-date, per VandaTrack.</li>
<li>US stocks have been surprisingly resilient in 2023 despite looming recession fea… [+2381 chars]","The average retail investor portfolio is down 27% since November of 2021, per VandaTrack.
Since November of 2021, the average individual investor's portfolio is down about 27%, according to VandaTrack Research.
But individual investors appear to be missing out on these gains for the most part, according to Vanda.
Average retail investor allocations are very concentrated and largely titled towards tech stocks.
""Better figures or convincing forward guidance from bank or tech stocks will likely lead to a boost in retail purchases.""","['market', 'investors', 'losses', 'big', 'earnings', 'portfolios', 'stock', 'sitting', 'investor', 'rallies', '2023', 'retail', 'recession', 'tech', 'bank', 'individual', 'despite', 'stocks']"
business-insider,Business Insider,Emilia David,Why banning TikTok could be a bad idea,"In this edition, Lemon8's popularity proves banning TikTok is a bad idea, Big Tech return-to-office and why Google is closing some of its cafes.",https://www.businessinsider.com/lemon8-and-the-tiktok-ban-google-amazon-2023-4,https://i.insider.com/64392266f62706001942f927?width=1200&format=jpeg,2023-04-14T10:30:12Z,"Happy Friday, readers! I'm Emilia David. I'm glad we made it to the weekend. I'm writing this from Insider's New York office. Maybe you don't want to think about the office this weekend (or any weeke… [+4237 chars]","Download Insider's app here.
Screenshots from Lemon8 app, Ese Nuesiri / Shantania Beckford1.
The rise of Lemon8 proves how pointless a TikTok ban would be.
The US government wants to ban TikTok, but its parent company ByteDance is coming out with a new app aimed at the US market.
Paayal writes that even if the US banned TikTok, Lemon8 would still exist.","['lemon8', 'google', 'amazon', 'bad', 'office', 'banning', 'app', 'ban', 'ai', 'idea', 'tiktok', 'insiders', 'workers']"
business-insider,Business Insider,Aaron Mok,"Meet China's 10 richest tech billionaires, from the CEO of ByteDance to the 'Steve Jobs of China'","As TikTok has come into the spotlight, so has the billionaire CEO of its parent company Zhang Yiming, who is the richest tech billionaire in China.",https://www.businessinsider.com/richest-chinese-tech-billionaires-bytedance-zhang-yiming-jack-ma-tencent-2023-4,https://i.insider.com/643855cee955f50018facb81?width=1200&format=jpeg,2023-04-15T12:00:11Z,"Ma Huateng (L), Zhang Yiming, and Jack Ma (R) are China's richest tech billionaires as of 2032.Kin Cheung/AP; Business Wire/AP; Mark Schiefelbein/AP
<ul>
<li>Chinese companies like TikTok's parent B… [+10967 chars]","ByteDance's founder is the richest tech billionaire in China.
These are the 10 richest Chinese billionaires in tech, per Bloomberg's 2023 Billionaire Index.
He is one of many Chinese billionaires who got rich from starting successful tech giants.
These Chinese billionaires are also navigating policies in their own country.
From the CEO of ByteDance to the founder of WeChat, here are the 10 wealthiest Chinese tech billionaires.","['jobs', 'billionaires', 'richest', 'worth', 'china', 'ceo', 'insider', 'steve', 'bytedance', 'tiktoks', 'chinese', 'tech', 'billion', 'chinas', 'privacy', 'meet']"
,ReadWrite,Lu Zhang,"Like Their Customers, Tech Startups Will Weather the Storm","Markets are always in flux, randomly walking between gains and losses, but sometimes macro factors conspire to create sustained volatility. In 2022, we saw unusual supply constraints — lingering post-coronavirus supply chain issues, a persistently tight labor…",https://readwrite.com/like-their-customers-tech-startups-will-weather-the-storm/,https://readwrite.com/wp-content/uploads/2023/04/Tech-Startups.jpg,2023-04-14T22:00:59Z,"Markets are always in flux, randomly walking between gains and losses, but sometimes macro factors conspire to create sustained volatility. In 2022, we saw unusual supply constraints — lingering post… [+5589 chars]","Yet, we know tech startups will weather the storm.
The Macro Factors Driving VolatilityFor tech startups, this new environment is obviously challenging: Business customers are cutting costs and hunkering down as the Fed enacts aggressive measures to combat inflation, and consumers are simultaneously feeling the pinch from both inflation and high borrowing costs.
The Importance of Technology in a Persistently Tight Labor MarketFor companies to retain talent — especially younger workers — technology that enables remote work is crucial.
An odd feature of the current downturn is the persistently tight labor market.
The Implications for Tech StartupsFor tech startups, there is no question that investor preferences have shifted, and a historical overemphasis on top-line growth has been replaced by a more disciplined focus on (a path to) profitability.","['storm', 'startups', 'tight', 'weather', 'customers', 'software', 'labor', 'fed', 'businesses', 'technology', 'tech', 'persistently', 'supply']"
,The Guardian,Kari Paul,Silicon valediction? Our road trip to tech industry hotspots as the sector cools,"Tables may have freed up at Silicon Valley’s Coupa Cafe, but ‘scalability’ is still on the menu as tech workers look forwardIf you read the news, you’d think that San Francisco is dead. If you try to drive there during rush hour, you’d find that hard to belie…",https://www.theguardian.com/technology/2023/apr/15/silicon-valley-road-trip-tech-industry-decline,https://i.guim.co.uk/img/media/f39656ad351849ced252e4e1f960ccd9732de2a7/0_0_1500_900/master/1500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=bb662b020edd2189c099b7da9d5cb3aa,2023-04-15T05:00:34Z,"If you read the news, youd think that San Francisco is dead. If you try to drive there during rush hour, youd find that hard to believe.
On a sunny Wednesday morning this month, I found myself on th… [+9264 chars]","Photograph: Amy Osborne/AFP/Getty ImagesBut does this ballooning crisis really mean the end of Silicon Valley as we know it?
And so there I was, bumper to bumper, making my way from my apartment in East Oakland to downtown San Francisco.
In the heyday of Silicon Valley it was nearly impossible to snag a table here.
The floor of the restaurant was relatively empty, but a handful of diners around me discussed business, company mergers and expensive wine.
“It’s not Silicon Valley.”","['headquarters', 'francisco', 'road', 'industry', 'business', 'campus', 'sector', 'valediction', 'san', 'company', 'valley', 'tech', 'hotspots', 'workers', 'trip', 'cools', 'silicon']"
business-insider,Business Insider,Aaron McDade,"OpenAI CEO Sam Altman: Letter from Elon Musk, others calling for AI development pause 'lacked technical nuance'","Sam Altman said a recent open letter from people across the tech industry asking for a six-month pause on AI development ""lacked technical nuance"" about where a pause could help.",https://www.businessinsider.com/openai-ceo-sam-altman-responds-letter-elon-musk-ai-pause-2023-4,https://i.insider.com/6439b34456f0dc0019893f85?width=1200&format=jpeg,2023-04-14T21:10:11Z,"Sam Altman, the OpenAI CEO, and an illustration of GPT-4.JASON REDMOND/AFP via Getty Images; Jaap Arriens/NurPhoto via Getty Images
<ul>
<li>OpenAI CEO Sam Altman responded to the open letter callin… [+2830 chars]","OpenAI CEO Sam Altman responded to the open letter calling for a pause on AI for one of the first times Thursday.
Speaking at MIT, Altman said safety is important to OpenAI, and the letter ""lacked technical nuance.""
The letter called for a six-month pause on AI development, and was signed by tech leaders like Elon Musk.
In one of his only public responses to the open letter signed by Elon Musk and hundreds of others in the tech industry about concerns over AI, OpenAI CEO Sam Altman said it ""lacked technical nuance about where we need the pause.""
The OpenAI CEO also said his company will continue to be as honest as possible about its developments with AI.","['nuance', 'musk', 'openai', 'pause', 'technical', 'letter', 'ai', 'ceo', 'sam', 'tech', 'development', 'elon', 'lacked', 'really', 'altman', 'safety']"
